[Iter 1] [September 24] (time : 15:43) | Refreshing...
[Iter 43] [September 24] (time : 15:58) | Refreshing...
[Iter 44] [September 24] (time : 15:58) | Refreshing...
[Iter 45] [September 24] (time : 15:58) | Refreshing...
[Iter 46] [September 24] (time : 15:58) | Refreshing...
[Iter 47] [September 24] (time : 15:59) | Refreshing...
[ERROR 3] There is an error.(time : 15:59)
[Iter 48] [September 10] (time : 16:00) | Refreshing...
[Iter 49] [September 10] (time : 16:01) | Refreshing...
[Iter 50] [September 10] (time : 16:01) | Refreshing...
[Iter 51] [September 10] (time : 16:01) | Refreshing...
[Iter 52] [September 10] (time : 16:02) | Refreshing...
[ERROR 4] There is an error.(time : 16:02)
[Iter 53] [September 10] (time : 16:03) | Refreshing...
[Iter 54] [September 10] (time : 16:03) | Refreshing...
[Iter 55] [September 10] (time : 16:04) | Refreshing...
[Iter 56] [September 10] (time : 16:04) | Refreshing...
[Iter 57] [September 10] (time : 16:04) | Refreshing...
[Iter 58] [September 10] (time : 16:05) | Refreshing...
[Iter 59] [September 10] (time : 16:05) | Refreshing...
[Iter 60] [September 10] (time : 16:05) | Refreshing...
[Iter 61] [September 10] (time : 16:05) | Refreshing...
[Iter 62] [September 10] (time : 16:06) | Refreshing...
[ERROR 5] There is an error.(time : 16:06)
[Iter 63] [September 10] (time : 16:07) | Refreshing...
[Iter 64] [September 10] (time : 16:08) | Refreshing...
[Iter 65] [September 10] (time : 16:08) | Refreshing...
Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)': /session/7de54084bf4ada1c06454997b78487ef
[Iter 1] [September 10] (time : 16:09) | Refreshing...
[Iter 2] [September 10] (time : 16:09) | Refreshing...
[Iter 3] [September 10] (time : 16:10) | Refreshing...
[Iter 4] [September 10] (time : 16:10) | Refreshing...
[Iter 5] [September 24] (time : 16:10) | Refreshing...
[Iter 6] [September 24] (time : 16:11) | Refreshing...
[Iter 7] [September 24] (time : 16:11) | Refreshing...
[Iter 8] [September 24] (time : 16:11) | Refreshing...
[Iter 9] [September 24] (time : 16:11) | Refreshing...
[Iter 10] [September 24] (time : 16:12) | Refreshing...
[Iter 11] [September 24] (time : 16:12) | Refreshing...
[Iter 12] [September 24] (time : 16:12) | Refreshing...
[Iter 13] [September 24] (time : 16:13) | Refreshing...
[Iter 14] [September 24] (time : 16:13) | Refreshing...
[Iter 15] [September 24] (time : 16:13) | Refreshing...
[ERROR 1] There is an error.(time : 16:13)
[Iter 16] [September 24] (time : 16:15) | Refreshing...
[Iter 17] [September 10] (time : 16:15) | Refreshing...
[Iter 18] [September 10] (time : 16:16) | Refreshing...
[Iter 19] [September 10] (time : 16:16) | Refreshing...
[Iter 20] [September 10] (time : 16:16) | Refreshing...
[Iter 21] [September 10] (time : 16:16) | Refreshing...
[Iter 22] [September 10] (time : 16:17) | Refreshing...
[Iter 23] [September 10] (time : 16:17) | Refreshing...
[Iter 24] [September 10] (time : 16:17) | Refreshing...
[Iter 25] [September 10] (time : 16:18) | Refreshing...
[Iter 26] [September 10] (time : 16:18) | Refreshing...
[Iter 27] [September 10] (time : 16:18) | Refreshing...
[Iter 28] [September 10] (time : 16:18) | Refreshing...
[Iter 29] [September 10] (time : 16:19) | Refreshing...
[Iter 30] [September 10] (time : 16:19) | Refreshing...
[Iter 31] [September 10] (time : 16:19) | Refreshing...
[Iter 32] [September 10] (time : 16:20) | Refreshing...
[Iter 33] [September 10] (time : 16:20) | Refreshing...
[Iter 34] [September 10] (time : 16:20) | Refreshing...
[Iter 35] [September 10] (time : 16:20) | Refreshing...
[Iter 36] [September 10] (time : 16:21) | Refreshing...
[ERROR 2] There is an error.(time : 16:21)
[Iter 37] [September 10] (time : 16:23) | Refreshing...
[Iter 38] [September 10] (time : 16:23) | Refreshing...
[Iter 39] [September 10] (time : 16:23) | Refreshing...
[Iter 40] [September 10] (time : 16:23) | Refreshing...
[Iter 41] [September 10] (time : 16:24) | Refreshing...
[Iter 42] [September 10] (time : 16:24) | Refreshing...
[Iter 43] [September 10] (time : 16:24) | Refreshing...
[Iter 44] [September 10] (time : 16:25) | Refreshing...
[Iter 45] [September 10] (time : 16:25) | Refreshing...
[Iter 46] [September 10] (time : 16:25) | Refreshing...
[Iter 47] [September 10] (time : 16:25) | Refreshing...
[Iter 48] [September 10] (time : 16:26) | Refreshing...
[Iter 49] [September 10] (time : 16:26) | Refreshing...
[Iter 50] [September 10] (time : 16:26) | Refreshing...
[Iter 51] [September 10] (time : 16:27) | Refreshing...
[Iter 52] [September 10] (time : 16:27) | Refreshing...
[Iter 53] [September 10] (time : 16:27) | Refreshing...
[Iter 54] [September 10] (time : 16:28) | Refreshing...
[Iter 55] [September 10] (time : 16:28) | Refreshing...
[Iter 56] [September 10] (time : 16:28) | Refreshing...
[Iter 57] [September 10] (time : 16:28) | Refreshing...
[Iter 58] [September 10] (time : 16:29) | Refreshing...
[Iter 59] [September 10] (time : 16:29) | Refreshing...
[Iter 60] [September 10] (time : 16:29) | Refreshing...
[Iter 61] [September 10] (time : 16:30) | Refreshing...
[Iter 62] [September 10] (time : 16:30) | Refreshing...
[Iter 63] [September 10] (time : 16:30) | Refreshing...
[Iter 64] [September 10] (time : 16:30) | Refreshing...
[Iter 65] [September 10] (time : 16:31) | Refreshing...
[ERROR 3] There is an error.(time : 16:31)
[Iter 66] [September 10] (time : 16:33) | Refreshing...
[Iter 67] [September 10] (time : 16:33) | Refreshing...
[Iter 68] [September 10] (time : 16:33) | Refreshing...
[Iter 69] [September 10] (time : 16:33) | Refreshing...
[Iter 70] [September 10] (time : 16:34) | Refreshing...
[Iter 71] [September 10] (time : 16:34) | Refreshing...
[Iter 72] [September 10] (time : 16:34) | Refreshing...
[Iter 73] [September 10] (time : 16:35) | Refreshing...
[Iter 74] [September 10] (time : 16:35) | Refreshing...
[Iter 75] [September 10] (time : 16:35) | Refreshing...
[Iter 76] [September 10] (time : 16:36) | Refreshing...
[Iter 77] [September 10] (time : 16:36) | Refreshing...
[Iter 78] [September 10] (time : 16:36) | Refreshing...
[Iter 79] [September 10] (time : 16:37) | Refreshing...
[Iter 80] [September 10] (time : 16:37) | Refreshing...
[Iter 81] [September 10] (time : 16:37) | Refreshing...
[Iter 82] [September 10] (time : 16:38) | Refreshing...
[Iter 83] [September 10] (time : 16:38) | Refreshing...
[Iter 84] [September 10] (time : 16:38) | Refreshing...
[Iter 85] [September 10] (time : 16:38) | Refreshing...
[Iter 86] [September 10] (time : 16:39) | Refreshing...
[Iter 1] [September 24] (time : 16:57) | Refreshing...
[Iter 2] [September 24] (time : 16:58) | Refreshing...
[Iter 3] [September 24] (time : 16:58) | Refreshing...
[Iter 4] [September 24] (time : 16:58) | Refreshing...
[Iter 5] [September 24] (time : 16:59) | Refreshing...
[Iter 6] [September 24] (time : 16:59) | Refreshing...
[ERROR 1] There is an error.(time : 16:59)
[Iter 7] [September 24] (time : 17:01) | Refreshing...
[Iter 8] [September 24] (time : 17:01) | Refreshing...
[Iter 9] [September 24] (time : 17:01) | Refreshing...
[Iter 10] [September 24] (time : 17:02) | Refreshing...
[Iter 11] [September 24] (time : 17:02) | Refreshing...
[Iter 12] [September 24] (time : 17:02) | Refreshing...
[ERROR 2] There is an error.(time : 17:02)
[ERROR 3] There is an error.(time : 17:03)
[ERROR 4] There is an error.(time : 17:04)
[ERROR 5] There is an error.(time : 17:06)
[ERROR 6] There is an error.(time : 17:07)
[Iter 13] [September 10] (time : 17:09) | Refreshing...
[Iter 14] [September 10] (time : 17:09) | Refreshing...
[Iter 15] [September 10] (time : 17:09) | Refreshing...
[Iter 16] [September 10] (time : 17:09) | Refreshing...
[Iter 17] [September 10] (time : 17:10) | Refreshing...
[Iter 18] [September 10] (time : 17:10) | Refreshing...
[Iter 19] [September 10] (time : 17:10) | Refreshing...
Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)': /session/d7e9d46944d4d17679bcfde68e1a0c0f
[ERROR 1] There is an error.(time : 17:13)
[Iter 1] [September 10] (time : 17:15) | Refreshing...
[ERROR 1] There is an error.(time : 17:15)
[ERROR 2] There is an error.(time : 17:16)
[Iter 2] [September 10] (time : 17:18) | Refreshing...
[Iter 3] [September 10] (time : 17:18) | Refreshing...
[ERROR 3] There is an error.(time : 17:18)
[ERROR 4] There is an error.(time : 17:20)
[ERROR 5] There is an error.(time : 17:22)
[Iter 4] [September 10] (time : 17:24) | Refreshing...
[Iter 5] [September 10] (time : 17:24) | Refreshing...
[Iter 6] [September 10] (time : 17:24) | Refreshing...
[Iter 7] [September 10] (time : 17:25) | Refreshing...
[Iter 8] [September 10] (time : 17:25) | Refreshing...
[Iter 9] [September 10] (time : 17:25) | Refreshing...
[Iter 10] [September 10] (time : 17:26) | Refreshing...
[Iter 11] [September 10] (time : 17:26) | Refreshing...
[Iter 12] [September 10] (time : 17:26) | Refreshing...
[Iter 13] [None ] (time : 17:26) | Refreshing...
[Iter 14] [None ] (time : 17:27) | Refreshing...
[Iter 15] [September 10] (time : 17:27) | Refreshing...
[Iter 16] [September 10] (time : 17:27) | Refreshing...
[Iter 17] [September 10] (time : 17:28) | Refreshing...
[Iter 18] [September 10] (time : 17:28) | Refreshing...
[Iter 19] [September 10] (time : 17:28) | Refreshing...
[Iter 20] [September 10] (time : 17:29) | Refreshing...
[Iter 21] [September 10] (time : 17:29) | Refreshing...
[ERROR 6] There is an error.(time : 17:29)
[ERROR 7] There is an error.(time : 17:31)
[Iter 22] [September 10] (time : 17:32) | Refreshing...
[ERROR 8] There is an error.(time : 17:33)
[ERROR 9] There is an error.(time : 17:41)
[Iter 23] [September 10] (time : 17:43) | Refreshing...
[Iter 1] [September 10] (time : 17:47) | Refreshing...
[Iter 2] [September 10] (time : 17:47) | Refreshing...
Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)': /session/292331d0a4feb1e956d20087f9a6c979
[Iter 1] [September 10] (time : 17:48) | Refreshing...
[Iter 2] [September 10] (time : 17:48) | Refreshing...
[Iter 3] [September 10] (time : 17:48) | Refreshing...
[Iter 4] [None ] (time : 17:48) | Refreshing...
[Iter 5] [September 24] (time : 17:49) | Refreshing...
[ERROR 1] There is an error.(time : 17:49)
[ERROR 2] There is an error.(time : 17:50)
[Iter 6] [September 24] (time : 17:52) | Refreshing...
[Iter 7] [September 24] (time : 17:52) | Refreshing...
[Iter 8] [September 24] (time : 17:53) | Refreshing...
[Iter 9] [September 24] (time : 17:53) | Refreshing...
[Iter 10] [September 24] (time : 17:53) | Refreshing...
[Iter 11] [September 24] (time : 17:53) | Refreshing...
[ERROR 3] There is an error.(time : 17:53)
[Iter 12] [September 24] (time : 17:55) | Refreshing...
[Iter 13] [September 24] (time : 17:56) | Refreshing...
[Iter 14] [September 24] (time : 17:56) | Refreshing...
[Iter 15] [September 24] (time : 17:56) | Refreshing...
[Iter 16] [September 24] (time : 17:57) | Refreshing...
[Iter 17] [September 24] (time : 17:57) | Refreshing...
[ERROR 4] There is an error.(time : 17:57)
[Iter 18] [September 24] (time : 17:58) | Refreshing...
[Iter 19] [September 24] (time : 17:59) | Refreshing...
[Iter 20] [September 24] (time : 17:59) | Refreshing...
[Iter 21] [September 24] (time : 17:59) | Refreshing...
[Iter 22] [September 24] (time : 18:00) | Refreshing...
[ERROR 5] There is an error.(time : 18:00)
[Iter 23] [September 24] (time : 18:01) | Refreshing...
[Iter 24] [September 24] (time : 18:02) | Refreshing...
[Iter 25] [September 24] (time : 18:02) | Refreshing...
[ERROR 6] There is an error.(time : 18:02)
[Iter 26] [September 24] (time : 18:04) | Refreshing...
[Iter 27] [September 24] (time : 18:04) | Refreshing...
[Iter 28] [September 24] (time : 18:04) | Refreshing...
[Iter 29] [September 24] (time : 18:05) | Refreshing...
[Iter 30] [September 24] (time : 18:05) | Refreshing...
[Iter 31] [September 24] (time : 18:05) | Refreshing...
[ERROR 7] There is an error.(time : 18:05)
[Iter 32] [September 24] (time : 18:07) | Refreshing...
[Iter 33] [September 24] (time : 18:07) | Refreshing...
[Iter 34] [September 24] (time : 18:08) | Refreshing...
[Iter 35] [September 24] (time : 18:08) | Refreshing...
[Iter 36] [September 24] (time : 18:08) | Refreshing...
[ERROR 8] There is an error.(time : 18:08)
[Iter 37] [September 24] (time : 18:10) | Refreshing...
[ERROR 9] There is an error.(time : 18:10)
[Iter 38] [September 24] (time : 18:12) | Refreshing...
[Iter 39] [September 24] (time : 18:12) | Refreshing...
[Iter 40] [September 24] (time : 18:12) | Refreshing...
[Iter 41] [September 24] (time : 18:13) | Refreshing...
[Iter 42] [September 24] (time : 18:13) | Refreshing...
[Iter 43] [September 24] (time : 18:13) | Refreshing...
[Iter 44] [September 24] (time : 18:13) | Refreshing...
[Iter 45] [September 24] (time : 18:14) | Refreshing...
[Iter 46] [September 24] (time : 18:14) | Refreshing...
[Iter 47] [September 24] (time : 18:14) | Refreshing...
[ERROR 10] There is an error.(time : 18:14)
[Iter 48] [September 10] (time : 18:16) | Refreshing...
[Iter 49] [September 24] (time : 18:16) | Refreshing...
[Iter 50] [September 24] (time : 18:17) | Refreshing...
[Iter 51] [September 24] (time : 18:17) | Refreshing...
[Iter 52] [September 24] (time : 18:17) | Refreshing...
[Success 1] Found an available date. September 24
[Success 2] Found an available date. September 24
