Icon,Name,Start Time,Grid Northing (m),Grid Easting (m),Elevation (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20240720105450 2024-07-20 11:02:01.571767100 AM,7/20/2024 11:02,3490530.41,219927.752,2669.897,USER,Fixed,Corrected,None,17, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.351, , , , 
 ,20240720105450 2024-07-20 11:01:55.560742600 AM,7/20/2024 11:01,3490583.664,219899.659,2669.502,USER,Fixed,Corrected,None,14, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.512,0.677,1.352, , , , 
 ,20240720105450 2024-07-20 11:01:57.558187200 AM,7/20/2024 11:01,3490566.035,219909.063,2669.486,USER,Fixed,Corrected,None,15, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.351, , , , 
 ,20240720105450 2024-07-20 11:02:03.561399000 AM,7/20/2024 11:02,3490512.836,219937.06,2670.117,USER,Fixed,Corrected,None,18, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.351, , , , 
 ,20240720105450 2024-07-20 11:02:05.577826300 AM,7/20/2024 11:02,3490495.116,219946.601,2670.371,USER,Fixed,Corrected,None,19, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.35, , , , 
 ,20240720105450 2024-07-20 11:02:07.566916000 AM,7/20/2024 11:02,3490477.717,219955.869,2670.141,USER,Fixed,Corrected,None,20, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.35, , , , 
 ,20240720105450 2024-07-20 11:02:15.576103700 AM,7/20/2024 11:02,3490407.301,219993.711,2669.281,USER,Fixed,Corrected,None,24, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.51,0.677,1.349, , , , 
 ,20240720105450 2024-07-20 11:02:13.553353800 AM,7/20/2024 11:02,3490425.169,219984.091,2669.528,USER,Fixed,Corrected,None,23, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.51,0.677,1.35, , , , 
 ,20240720105450 2024-07-20 11:02:11.549300400 AM,7/20/2024 11:02,3490442.623,219974.686,2669.94,USER,Fixed,Corrected,None,22, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.51,0.677,1.35, , , , 
 ,20240720105450 2024-07-20 11:02:09.558054700 AM,7/20/2024 11:02,3490460.121,219965.267,2669.894,USER,Fixed,Corrected,None,21, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.51,0.677,1.35, , , , 
 ,20240720105450 2024-07-20 11:02:17.565170300 AM,7/20/2024 11:02,3490389.684,220003.085,2669.478,USER,Fixed,Corrected,None,25, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.51,0.677,1.349, , , , 
 ,20240720105450 2024-07-20 11:02:23.547743800 AM,7/20/2024 11:02,3490336.863,220031.249,2670.545,USER,Fixed,Corrected,None,28, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.677,1.348, , , , 
 ,20240720105450 2024-07-20 11:02:21.556222200 AM,7/20/2024 11:02,3490354.431,220021.967,2670.339,USER,Fixed,Corrected,None,27, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.677,1.349, , , , 
 ,20240720105450 2024-07-20 11:02:19.552224900 AM,7/20/2024 11:02,3490372.092,220012.505,2669.827,USER,Fixed,Corrected,None,26, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.677,1.349, , , , 
 ,20240720105450 2024-07-20 11:02:25.574528500 AM,7/20/2024 11:02,3490319.235,220040.559,2670.49,USER,Fixed,Corrected,None,29, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.678,1.348, , , , 
 ,20240720105450 2024-07-20 11:02:27.595265400 AM,7/20/2024 11:02,3490301.416,220049.872,2669.735,USER,Fixed,Corrected,None,30, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.678,1.348, , , , 
 ,20240720105450 2024-07-20 11:02:35.563041200 AM,7/20/2024 11:02,3490230.781,220087.666,2670.028,USER,Fixed,Corrected,None,34, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.508,0.678,1.347, , , , 
 ,20240720105450 2024-07-20 11:02:29.556922400 AM,7/20/2024 11:02,3490284.213,220059.097,2669.004,USER,Fixed,Corrected,None,31, ,BYCODE(0), ,0.011,0.012,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.509,0.678,1.348, , , , 
 ,20240720105450 2024-07-20 11:02:31.548334800 AM,7/20/2024 11:02,3490266.327,220068.643,2669.155,USER,Fixed,Corrected,None,32, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.508,0.678,1.348, , , , 
 ,20240720105450 2024-07-20 11:02:33.573611700 AM,7/20/2024 11:02,3490248.394,220078.313,2669.803,USER,Fixed,Corrected,None,33, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.508,0.678,1.347, , , , 
 ,20240720105450 2024-07-20 11:02:37.552481700 AM,7/20/2024 11:02,3490213.253,220097.117,2670.037,USER,Fixed,Corrected,None,35, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.508,0.678,1.347, , , , 
 ,20240720105450 2024-07-20 11:02:39.577273400 AM,7/20/2024 11:02,3490195.605,220106.867,2669.694,USER,Fixed,Corrected,None,36, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.508,0.678,1.347, , , , 
 ,20240720105450 2024-07-20 11:02:51.554470300 AM,7/20/2024 11:02,3490089.979,220163.103,2669.873,USER,Fixed,Corrected,None,42, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.345, , , , 
 ,20240720105450 2024-07-20 11:02:45.574456900 AM,7/20/2024 11:02,3490142.702,220134.97,2670.066,USER,Fixed,Corrected,None,39, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.507,0.678,1.346, , , , 
 ,20240720105450 2024-07-20 11:02:47.576558800 AM,7/20/2024 11:02,3490124.983,220144.389,2670.099,USER,Fixed,Corrected,None,40, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.507,0.678,1.346, , , , 
 ,20240720105450 2024-07-20 11:02:41.574855600 AM,7/20/2024 11:02,3490177.864,220116.226,2669.899,USER,Fixed,Corrected,None,37, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.507,0.678,1.346, , , , 
 ,20240720105450 2024-07-20 11:02:43.576499700 AM,7/20/2024 11:02,3490160.291,220125.709,2670.243,USER,Fixed,Corrected,None,38, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.507,0.678,1.346, , , , 
 ,20240720105450 2024-07-20 11:02:49.565565100 AM,7/20/2024 11:02,3490107.44,220153.713,2669.997,USER,Fixed,Corrected,None,41, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.507,0.678,1.346, , , , 
 ,20240720105450 2024-07-20 11:02:57.563557600 AM,7/20/2024 11:02,3490037.018,220191.344,2668.392,USER,Fixed,Corrected,None,45, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.345, , , , 
 ,20240720105450 2024-07-20 11:02:55.568288800 AM,7/20/2024 11:02,3490054.693,220181.925,2668.916,USER,Fixed,Corrected,None,44, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.345, , , , 
 ,20240720105450 2024-07-20 11:02:53.572896700 AM,7/20/2024 11:02,3490072.289,220172.619,2669.386,USER,Fixed,Corrected,None,43, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.345, , , , 
 ,20240720105450 2024-07-20 11:02:59.559466400 AM,7/20/2024 11:02:60 AM,3490019.197,220200.647,2668.228,USER,Fixed,Corrected,None,46, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.344, , , , 
 ,20240720105450 2024-07-20 11:03:01.551037300 AM,7/20/2024 11:03,3490001.401,220209.819,2668.098,USER,Fixed,Corrected,None,47, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.506,0.678,1.344, , , , 
 ,20240720105450 2024-07-20 11:03:03.574117700 AM,7/20/2024 11:03,3489983.613,220219.4,2668.243,USER,Fixed,Corrected,None,48, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.505,0.678,1.344, , , , 
 ,20240720105450 2024-07-20 11:03:05.565656400 AM,7/20/2024 11:03,3489966.105,220228.694,2668.266,USER,Fixed,Corrected,None,49, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.505,0.678,1.344, , , , 
 ,20240720105450 2024-07-20 11:04:15.696385600 AM,7/20/2024 11:04,3490306.939,220064.058,2669.437,USER,Fixed,Corrected,None,81, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:07.703320700 AM,7/20/2024 11:04,3490235.546,220099.547,2669.825,USER,Fixed,Corrected,None,77, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:09.694943400 AM,7/20/2024 11:04,3490253.442,220090.71,2669.675,USER,Fixed,Corrected,None,78, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:13.707310200 AM,7/20/2024 11:04,3490289.14,220072.865,2669.702,USER,Fixed,Corrected,None,80, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:11.715819600 AM,7/20/2024 11:04,3490271.499,220081.706,2669.749,USER,Fixed,Corrected,None,79, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:17.716913700 AM,7/20/2024 11:04,3490324.934,220055.031,2669.298,USER,Fixed,Corrected,None,82, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:03:11.572937000 AM,7/20/2024 11:03,3489913.145,220257.241,2669.579,USER,Fixed,Corrected,None,52, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.638,0.714,1.474, , , , 
 ,20240720105450 2024-07-20 11:03:09.550199500 AM,7/20/2024 11:03,3489930.964,220247.717,2669.035,USER,Fixed,Corrected,None,51, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.505,0.678,1.343, , , , 
 ,20240720105450 2024-07-20 11:03:13.559894800 AM,7/20/2024 11:03,3489895.622,220266.556,2669.918,USER,Fixed,Corrected,None,53, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.605, , , , 
 ,20240720105450 2024-07-20 11:03:07.561066400 AM,7/20/2024 11:03,3489948.502,220238.216,2668.506,USER,Fixed,Corrected,None,50, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.505,0.678,1.343, , , , 
 ,20240720105450 2024-07-20 11:03:15.559260600 AM,7/20/2024 11:03,3489877.98,220275.94,2669.951,USER,Fixed,Corrected,None,54, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:17.917226800 AM,7/20/2024 11:03,3489861.607,220285.662,2669.831,USER,Fixed,Corrected,None,55, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:27.705015400 AM,7/20/2024 11:03,3489878.207,220276.949,2669.542,USER,Fixed,Corrected,None,57, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:24.015961900 AM,7/20/2024 11:03,3489858.484,220286.295,2669.941,USER,Fixed,Corrected,None,56, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:29.700485200 AM,7/20/2024 11:03,3489896.105,220267.671,2669.3,USER,Fixed,Corrected,None,58, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:31.687769400 AM,7/20/2024 11:03,3489913.655,220258.887,2669.251,USER,Fixed,Corrected,None,59, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.604, , , , 
 ,20240720105450 2024-07-20 11:03:35.701910500 AM,7/20/2024 11:03,3489949.251,220241.259,2668.806,USER,Fixed,Corrected,None,61, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:37.695506100 AM,7/20/2024 11:03,3489967.118,220232.384,2668.852,USER,Fixed,Corrected,None,62, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:33.714687600 AM,7/20/2024 11:03,3489931.552,220250.024,2669.11,USER,Fixed,Corrected,None,60, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.771,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:39.699599300 AM,7/20/2024 11:03,3489985.132,220223.447,2669.335,USER,Fixed,Corrected,None,63, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:41.691159700 AM,7/20/2024 11:03,3490003.129,220214.811,2669.711,USER,Fixed,Corrected,None,64, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:43.709805700 AM,7/20/2024 11:03,3490021.099,220205.988,2669.537,USER,Fixed,Corrected,None,65, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:45.701346400 AM,7/20/2024 11:03,3490038.979,220197.292,2669.424,USER,Fixed,Corrected,None,66, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:47.695093600 AM,7/20/2024 11:03,3490056.66,220188.489,2669.347,USER,Fixed,Corrected,None,67, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.603, , , , 
 ,20240720105450 2024-07-20 11:03:49.716155500 AM,7/20/2024 11:03,3490074.837,220179.334,2669.317,USER,Fixed,Corrected,None,68, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.602, , , , 
 ,20240720105450 2024-07-20 11:03:51.703851200 AM,7/20/2024 11:03,3490092.567,220170.473,2669.676,USER,Fixed,Corrected,None,69, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.751,1.602, , , , 
 ,20240720105450 2024-07-20 11:03:57.707636600 AM,7/20/2024 11:03,3490146.082,220143.634,2669.598,USER,Fixed,Corrected,None,72, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:03:59.697130200 AM,7/20/2024 11:03:60 AM,3490163.943,220134.813,2669.791,USER,Fixed,Corrected,None,73, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:03:53.697289700 AM,7/20/2024 11:03,3490110.297,220161.611,2669.849,USER,Fixed,Corrected,None,70, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:04:01.701419600 AM,7/20/2024 11:04,3490181.884,220125.974,2669.987,USER,Fixed,Corrected,None,74, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:03:55.695068400 AM,7/20/2024 11:03,3490127.992,220152.514,2669.6,USER,Fixed,Corrected,None,71, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.77,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:04:03.688821300 AM,7/20/2024 11:04,3490199.659,220117.162,2670,USER,Fixed,Corrected,None,75, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.602, , , , 
 ,20240720105450 2024-07-20 11:04:05.717935100 AM,7/20/2024 11:04,3490217.78,220108.212,2670.055,USER,Fixed,Corrected,None,76, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.769,0.752,1.601, , , , 
 ,20240720105450 2024-07-20 11:04:19.708260100 AM,7/20/2024 11:04,3490342.859,220046.238,2669.379,USER,Fixed,Corrected,None,83, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:21.699876500 AM,7/20/2024 11:04,3490360.728,220037.472,2669.653,USER,Fixed,Corrected,None,84, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:23.691572000 AM,7/20/2024 11:04,3490378.591,220028.709,2669.717,USER,Fixed,Corrected,None,85, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:25.718600700 AM,7/20/2024 11:04,3490396.59,220019.825,2669.644,USER,Fixed,Corrected,None,86, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:27.722788100 AM,7/20/2024 11:04,3490414.565,220010.838,2669.478,USER,Fixed,Corrected,None,87, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:29.712477700 AM,7/20/2024 11:04,3490432.254,220001.996,2669.436,USER,Fixed,Corrected,None,88, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:37.722348900 AM,7/20/2024 11:04,3490503.979,219966.545,2669.495,USER,Fixed,Corrected,None,92, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.599, , , , 
 ,20240720105450 2024-07-20 11:04:41.707342600 AM,7/20/2024 11:04,3490539.57,219948.791,2669.627,USER,Fixed,Corrected,None,94, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.599, , , , 
 ,20240720105450 2024-07-20 11:04:31.701953400 AM,7/20/2024 11:04,3490450.067,219993.221,2669.393,USER,Fixed,Corrected,None,89, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.752,1.6, , , , 
 ,20240720105450 2024-07-20 11:04:33.689494800 AM,7/20/2024 11:04,3490467.888,219984.216,2669.434,USER,Fixed,Corrected,None,90, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.768,0.753,1.599, , , , 
