Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20250903050955 2025-09-03 5:15:55.618500900 AM,32.41616748,55.32799046,1138.456,USER,Partial,Corrected,None,11, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.119, , , , 
 ,20250903050955 2025-09-03 5:15:57.909760000 AM,32.41600687,55.32792228,1138.612,USER,Partial,Corrected,None,12, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.119, , , , 
 ,20250903050955 2025-09-03 5:15:59.477731900 AM,32.41597313,55.32787954,1138.68,USER,Partial,Corrected,None,13, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:02.799472800 AM,32.41608359,55.32770179,1138.452,USER,Partial,Corrected,None,14, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.852,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:05.207629200 AM,32.41619385,55.32759245,1138.655,USER,Partial,Corrected,None,15, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:07.927780200 AM,32.41636718,55.32765197,1138.341,USER,Partial,Corrected,None,16, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:09.956143400 AM,32.41654384,55.3277247,1137.867,USER,Partial,Corrected,None,17, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:11.947407500 AM,32.41671458,55.32779601,1138.035,USER,Partial,Corrected,None,18, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:13.948671100 AM,32.4168838,55.3278672,1138.091,USER,Partial,Corrected,None,19, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:15.939935000 AM,32.41705181,55.32793775,1138.035,USER,Partial,Corrected,None,20, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:17.954098500 AM,32.41722306,55.32800983,1138.013,USER,Partial,Corrected,None,21, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:19.951862100 AM,32.41739271,55.32808071,1138.158,USER,Partial,Corrected,None,22, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:21.943025800 AM,32.41756062,55.32815178,1138.117,USER,Partial,Corrected,None,23, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:23.933789500 AM,32.41773076,55.32822327,1138.2,USER,Partial,Corrected,None,24, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.851,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:26.058250900 AM,32.41789879,55.32829363,1138.331,USER,Partial,Corrected,None,25, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:27.513424600 AM,32.41797418,55.32829486,1138.346,USER,Partial,Corrected,None,26, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.406,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:30.265874600 AM,32.41810328,55.3281442,1137.814,USER,Partial,Corrected,None,27, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:33.256020500 AM,32.41817854,55.3280065,1137.732,USER,Partial,Corrected,None,28, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:36.500661800 AM,32.41800768,55.32791892,1137.646,USER,Partial,Corrected,None,29, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:38.491826100 AM,32.41783384,55.32784392,1137.506,USER,Partial,Corrected,None,30, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:40.514089100 AM,32.41766183,55.32777082,1137.717,USER,Partial,Corrected,None,31, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:42.507152800 AM,32.41749344,55.32770017,1137.794,USER,Partial,Corrected,None,32, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:44.498416900 AM,32.41732431,55.32762966,1137.88,USER,Partial,Corrected,None,33, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:46.489480700 AM,32.41715558,55.32755876,1137.974,USER,Partial,Corrected,None,34, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.85,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:48.513644200 AM,32.41698402,55.32748668,1138.18,USER,Partial,Corrected,None,35, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.849,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:50.508707800 AM,32.41681554,55.32741577,1138.282,USER,Partial,Corrected,None,36, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.849,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:52.510271300 AM,32.41664617,55.32734472,1138.392,USER,Partial,Corrected,None,37, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.849,1.119, , , , 
 ,20250903050955 2025-09-03 5:16:54.772430200 AM,32.41648287,55.32727528,1138.57,USER,Partial,Corrected,None,38, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:16:56.494599100 AM,32.4164431,55.32722849,1138.589,USER,Partial,Corrected,None,39, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:16:59.822838800 AM,32.41655429,55.32705044,1138.209,USER,Partial,Corrected,None,40, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:16:60 AM, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:02.212395700 AM,32.41666515,55.32694158,1138.448,USER,Partial,Corrected,None,41, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:04.917046100 AM,32.41683784,55.32700138,1138.113,USER,Partial,Corrected,None,42, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:06.937509300 AM,32.41701458,55.32707405,1137.691,USER,Partial,Corrected,None,43, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:08.941372600 AM,32.41718603,55.32714598,1137.868,USER,Partial,Corrected,None,44, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.849,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:10.934336400 AM,32.41735456,55.32721703,1137.91,USER,Partial,Corrected,None,45, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:12.935900000 AM,32.41752352,55.32728855,1137.93,USER,Partial,Corrected,None,46, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:14.956463100 AM,32.41769451,55.32736087,1137.928,USER,Partial,Corrected,None,47, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:16.947426800 AM,32.41786308,55.32743194,1137.926,USER,Partial,Corrected,None,48, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:18.938290600 AM,32.41803191,55.32750283,1137.767,USER,Partial,Corrected,None,49, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:20.929054500 AM,32.41820099,55.32757408,1137.763,USER,Partial,Corrected,None,50, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:22.988616700 AM,32.41836857,55.3276452,1137.698,USER,Partial,Corrected,None,51, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:24.712685300 AM,32.41846115,55.32765265,1137.694,USER,Partial,Corrected,None,52, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:27.479834800 AM,32.4185905,55.32750094,1137.394,USER,Partial,Corrected,None,53, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.848,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:30.438681100 AM,32.41866515,55.32736525,1137.443,USER,Partial,Corrected,None,54, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:33.701822000 AM,32.41849325,55.32727687,1137.389,USER,Partial,Corrected,None,55, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:35.691085600 AM,32.41832017,55.3272017,1137.287,USER,Partial,Corrected,None,56, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:37.715648700 AM,32.41814766,55.32712924,1137.593,USER,Partial,Corrected,None,57, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:39.702612600 AM,32.4179797,55.32705846,1137.865,USER,Partial,Corrected,None,58, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.405,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:41.695776500 AM,32.4178107,55.32698765,1138.123,USER,Partial,Corrected,None,59, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:43.714039800 AM,32.41763946,55.3269158,1138.313,USER,Partial,Corrected,None,60, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:45.703003600 AM,32.41747128,55.32684541,1138.47,USER,Partial,Corrected,None,61, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:47.693767500 AM,32.41730284,55.32677454,1138.553,USER,Partial,Corrected,None,62, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.847,1.12, , , , 
 ,20250903050955 2025-09-03 5:17:49.711731000 AM,32.4171319,55.32670268,1138.629,USER,Partial,Corrected,None,63, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.847,1.121, , , , 
 ,20250903050955 2025-09-03 5:17:51.835892200 AM,32.41696818,55.32663376,1138.81,USER,Partial,Corrected,None,64, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:17:53.840856100 AM,32.41691321,55.32658178,1138.971,USER,Partial,Corrected,None,65, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:17:57.204195000 AM,32.41702375,55.32640254,1138.548,USER,Partial,Corrected,None,66, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:17:59.566952200 AM,32.41713257,55.32629395,1138.582,USER,Partial,Corrected,None,67, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:17:60 AM, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:02.290303000 AM,32.41730706,55.32635428,1138.263,USER,Partial,Corrected,None,68, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:04.298366100 AM,32.41748271,55.32642662,1137.923,USER,Partial,Corrected,None,69, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:06.320729300 AM,32.41765527,55.32649912,1138.063,USER,Partial,Corrected,None,70, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:08.311992900 AM,32.41782291,55.32656977,1137.987,USER,Partial,Corrected,None,71, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:10.301056900 AM,32.4179911,55.32664107,1138.041,USER,Partial,Corrected,None,72, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:12.327819800 AM,32.41816254,55.32671354,1138.099,USER,Partial,Corrected,None,73, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.846,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:14.314783600 AM,32.41833023,55.32678453,1138.181,USER,Partial,Corrected,None,74, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:16.312146900 AM,32.41849948,55.32685594,1138.124,USER,Partial,Corrected,None,75, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:18.302910600 AM,32.41866812,55.32692707,1138.097,USER,Partial,Corrected,None,76, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:20.327873500 AM,32.41883722,55.32699816,1138.079,USER,Partial,Corrected,None,77, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:22.252138400 AM,32.41894449,55.32701175,1138.135,USER,Partial,Corrected,None,78, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:25.010788200 AM,32.41907327,55.32686136,1137.6,USER,Partial,Corrected,None,79, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:27.987533800 AM,32.41914885,55.32672413,1137.494,USER,Partial,Corrected,None,80, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:31.246674500 AM,32.41897739,55.32663614,1137.561,USER,Partial,Corrected,None,81, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:33.237938400 AM,32.4188043,55.32656147,1137.437,USER,Partial,Corrected,None,82, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.845,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:35.231102200 AM,32.41863464,55.32648985,1137.73,USER,Partial,Corrected,None,83, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:37.232565900 AM,32.41846481,55.32641862,1137.968,USER,Partial,Corrected,None,84, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:39.252729200 AM,32.41829371,55.32634629,1138.217,USER,Partial,Corrected,None,85, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:41.256292800 AM,32.41812408,55.326275,1138.477,USER,Partial,Corrected,None,86, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:43.249256600 AM,32.41795569,55.32620417,1138.611,USER,Partial,Corrected,None,87, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.121, , , , 
 ,20250903050955 2025-09-03 5:18:45.269920100 AM,32.41778514,55.32613263,1138.635,USER,Partial,Corrected,None,88, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.122, , , , 
 ,20250903050955 2025-09-03 5:18:47.260783900 AM,32.41761611,55.32606127,1138.631,USER,Partial,Corrected,None,89, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.122, , , , 
 ,20250903050955 2025-09-03 5:18:49.316447000 AM,32.41745102,55.32599142,1138.78,USER,Partial,Corrected,None,90, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.122, , , , 
 ,20250903050955 2025-09-03 5:18:51.605605400 AM,32.41738043,55.32593275,1139.01,USER,Partial,Corrected,None,91, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.404,0.844,1.122, , , , 
 ,20250903050955 2025-09-03 5:18:54.931444900 AM,32.41748886,55.32575628,1138.522,USER,Partial,Corrected,None,92, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:18, , , , ,1.403,0.844,1.122, , , , 
