subject,count
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)مدنی۴،مدنی ۵،جزای عمومی ۳,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ویژه دانشجویان غیربومی(درس تجارت۴),1
درخواست وام دانشجویی,1
درخواست مجوز انتخاب واحد ترم تابستون,1
بررسی رمز عبور ,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)درس جزای عمومی ۳،فرم مربوطه تکمیل شده و پیوست شده است. ,1
درخواست امتحان پایان ترم نیم سال دوم ۱۴۰۳,1
من چطور میتونم بیست و سه واحد بردارم؟,1
درخواست دادن امتحان مجدد آیین دادرسی مدنی 3,1
خطا در زمان امتحان زبان پیش دانشگاهی انلاین,1
تمدید رساله,1
شرکت در امتحان مجدد درس جبر خطی ,1
درخواست برگزاری مجدد امتحانات پایان ترم خرداد404,1
درخواست شرکت مجدد در امتحان دروس عمومی,1
امتحانات عمومی ,1
مجوز انتخاب واحد تابستان ,1
در چه صورت اخذ ۲۳ واحد وجود دارد؟,1
درخواست فعال سازی رمز عبور ,1
درخواست امتحان مجدد زبان انگلیسی ترکیبی ۲,1
امتحان مجدد برای زبان انگلیسی ترکیبی ۲,1
درخواست شرکت در آزمون پایان ترم درس عمومی انقلاب اسلامی امتحانات تابستان ۱۴۰۴,1
درخواست برگزاری مجدد امتحانات پایان ترم خرداد 404,1
زمان انتخاب واحد,1
درخواست ثبت نام در ترم تابستان,1
درخواست آزمون مجدد,1
شرکت در آزمون مجدد تابستان ۱۴۰۴,1
درخواست شرکت در آزمون تابستان ۱۴۰۴ در دروس عمومی,1
باسلام و عرض ادب و احترام خدمت شما درخواست فرستادن لیست دروس عمومی رشته آموزش زبان انگلیسی را دارم.با تشکر از شما,1
باسلام و عرض ادب طبق اطلاعیه شما برای درخواست اخذ ترم تابستان،ازشما تقاضا دارم درخواست بنده را ثبت کنید.باتشکر!,1
درخواست شرکت در امتحانات مجدد نیمسال دوم 1403 در تابستان1404,1
درخواست شرکت در امتحانات مجدد نیمسال دوم1403 در تابستان 1404,1
درخواست شرکت در آزمون دروس عمومی مجدد نیمسال دوم 1404,1
برگزاری اردوی علمی ,1
صدور لیست دروس برای دانشجویان مهمان,1
امکان انجام طرح تحقیقاتی پژوهشی در تابستان,1
درخواست بررسی پروپوزال در شواری پژوهشی جهت دریافت کد اخلاق,1
امتحان مجدد در دروس عمومی,1
برگزاری امتحان مجدد ژنتیک مولکولی ,1
 ثبت درخواست امتحان ژنتیک مولکولی استاد مرتضی سیفتی,1
درخواست مجوز انتخاب واحد برای ۲۴ واحد,1
درخواست فعال سازی سامانه شرکت در کلاس های آنلاین,1
به دلیل شرایط نامساعد کشور و عدم توانایی حضور در امتحان حقوق مدنی ۲ درخواست امتحان مجدد را دارم.با تشکر ,1
تاریخ امتحان پایان ترم از چه زمانی شروع میشود,1
درخواست مجوز انتخاب واحد ۲۴ واحدی,1
تكميل فرم مربوط به تعويق امتحانات,1
درخواست شركت در امتحانات تابستان ١۴۰۴,1
ترم تابستان ,1
اخذ مجوز ترم آخر و اخذ ۴ واحد درس معارف,1
تاریخ شروع امتحانات کی هست,1
شرکت در آزمون زبان انگلیسی ۱,1
در خواست شرکت در امتحانات تابستان ۱۴۰۴با سلام  احتراما درخواست شرکت در امتحانات تابستان 1404 در دو درس آیین زندگی استاد شهربانو مهینی بجستانی و تاریخ تحلیلی صدر اسلام با استاد محمدرضا محمودی را دارم.,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)درس مدنی ۴،فرم مربوطه تکمیل شده است و پیوست همین درخواست است.,1
سلام.وقتتون بخیر.درخواست اجازه برای اخذ درس وصایا و انس با قران برای ترم تابستان را دارم.,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)دروس مدنی ۴ و مدنی ۵ و جزای عمومی ۳_فرم مربوطه تکمیل شده و پیوست همین درخواست است.,1
سلام درخواست وام دانشجویی دارم.,1
شرکت مجدد در امتحان وصایای امام,1
شرکت مجدد در امتحان تاریخ تحلیلی,1
شرکت مجدد در امتحان پایان ترم تاریخ تحلیلی,1
شرکت مجدد در امتحان پایان ترم درس وصایای امام در تابستان,1
تست سامانه,1
درخواست برگزاری امتحان مجدد ویژه دانشجویان غیرپزشکی,1
درخواست مجوز ۲۴ واحدی,1
مجوز اخذ ۲۴ واحد,1
درخواست امتحانات عمومی تابستان 1404,1
درخواست شرکت در امتحانات مجدد در تابستان 1404 ویژه دانشجویان غیر بومی,1
باسلام و احترام.ببخشید من از طبس میام یزد واسه دانشگاه.خانواده ام بدلیل اوضاع کنونی خیلی نگرانن و اصرار دارن برگردم شهرمون.ایا دانشگاه کنسل نمیشه این هفته؟,1
بورسیه تحصیلی,1
درخواست فعال شدن ویرایش قسمت زمینه پژوهشی در پژوهشیار,1
سلام زمان شروع امتحانات پایان ترم رو اطلاع دهید ,1
درخواست فعال شدن امکان ویرایش طرح پژوهشی,1
درخواست فعال شدن ویرایش پروپوزال,1
سلام من ساعت ۴ انتخاب واحد دارم و هنوز سقف انتخاب واحد ۲۰ واحده لطفا پیگیری کنید🙏🏻,1
درخواست مجوز برای انتخاب واحد ترم تابستانه,1
امتحان مجدد میکروبیولوژی ترم ۶,1
باسلام و عرض ادب ، درخواست جهت دادن امتحانات مجدد عمومی برای دانشجویان ,1
فرم امادگی دفاع کارشناسی ارشد,1
درخواست امتحان مجدد دروس عمومی به دلیل شرایط اخیر کشوری,1
با عرض سلام و احترام     بدینوسیله درخواست امتحان مجدد در تابستان 1404 به دلیل عدم شرکت در امتحانات عمومی تیر ماه 1404 را اعلام میدارم.     دروس درخواستی برای امتحان مجدد به شرح زیر است :     اتاریخ تحلیلی صدر اسلام،مورخ 1404.03.31 ساعت 15,1
درخواست برای اخذ ترم تابستان,1
ارسال پروژه درس بهینه سازی(سرکارخانم دکتر بهشتی پور),1
عدم امکان ویرایش زمینه پژوهشی,1
درخواست تغییر رمز,1
زمان امتحانات پایان ترم ,1
سلام تاریخ شروع امتحانات کی است ؟,1
اطلاع از زمان امتحانات,1
برگذاری مجدد امتحان دانشجویان بومی,1
شرکت در امتحانات عمومی جبرانی در تابستان ,1
چک لیست فارغ التحصیلی,1
برگذاری امتحان مجدد,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)مدنی ،مدنی۵،جزای عمومی ۳,1
برگزارى مجدد امتحانات عمومى در ترم تابستان,1
 درخواست فعالسازی رمز عبور,1
برگزاری مجدد امتحانات عمومی کنسل شده دانشکده علوم پزشکی ,1
آب سردکن ساختمان سلطانی,1
درخواست آمادگی دفاع,1
رفع نقص از مدرک تحصیلی,1
بررسی دروس توسط کارشناس برای امضا فرم آمادگی دفاع,1
شهریه,1
برگزارى مجدد امتحانات عمومى در ترم تابستون,1
درخواست برگزاری مجدد امتحانات عمومی لغو شده دانشجویان دانشکده پزشکی ,1
درخواست برگزاری مجدد امتحانات عمومی لغو شده دانشجویان دانشکده پزشکی,1
برگزاری مجدد امتحانات,1
درخواست برگزاری مجدد تماحانات,1
درخواست شركت در امتحانات مجدد تابستان ١٤٠٤ براي دروس عمومي,1
مجوز برداشتن دو درس معارف برای ترم اخر,1
درخواست برگزاری مجدد امتحان,1
اخذ واحد درسی,1
درخواست فعال سازی رمز را دارم,1
مجوز انتخاب واحد/ترم تابستان,1
مجوز انتخاب واحد / ترم تابستان ,1
درخواست فارغ التحصیلی دانشجویان( مجوز فارغ التحصیلی),1
درخواست استاد راهنما دکتراولیایی,1
اطلاعات مربوط به امتحان عمومی در لینک مربوطه تکمیل گردید .,1
درخواست شرکت در امتحانات تابستان ۴۰۴ ,1
برگزاری مجدد امتحان ژنتیک مولکولی برای دانشجویان غیر بومی استان یزد,1
ثبت موضوع پایان نامه ,1
درخواست مجوز انتخاب واحد در ترم آخر ,1
کارآموزی,1
بررسی کارنامه توسط کارشناس برای صدور چک لیست فارغ التحصیلی,1
درخواست شرکت در امتحانات مجدد,1
درخواست شرکت در امتحان مجدد درس آشنایی با فلسفه اسلامی,1
اخذ 24 واحد در یک ترم,1
درخواست اخذ 24 واحد در ترم 1401 را دارم,1
شرکت در امتحانات پایان ترم ,1
شرکت در امتحان های به تعویق افتاده در تابستان ,1
درخواست امتحان مجدد به علت شرایط نامساعد کشور و همچنین غیر بومی بودن دانشجو,1
با سلام سارا اسفندیارپور هستم دانشجوی کارشناسی ارشد بالینی  درخواست کد اخلاق برای پایان نامه خود را داشتم ,1
اولین درخواست برای ثبت در سامانه,1
تعویق امتحانات دروس عمومی,1
ثبت درخواست انتخاب واحد (باتوجه به اینکه قبل از انتخاب واحد می بایستی درخواست آنرا در سامانه اموزشیار ثبت کنم امکتن ورود به سامانه را ندارم و با خطای شما مجوز ورود را ندارید مواجه هستم),1
برگزاری مجدد ازمون انقلاب اسلامی ,1
برگزاری مجدد ازمون انس با قران,1
برگزاری مجدد امتحان اندیشه های امامین انقلاب اسلامی و وصایای امام خمینی,1
درخواست شرکت در امتحانات مجدد تابستان ۱۴۰۳ ,1
درود وقتی می‌خواستم مجوز انتخاب واحد در نیم سال ۴۰۴۱ وارد کنم خطا می‌ده بهم و میگه مجاز نیستم ممنون می‌شم راهنماییم کنید🙏🏼,1
شرکت در امتحانات دروس عمومی,1
برگزاری امتحان مجدد دانشجویان بومی ,1
عدم امکان شرکت در امتحانات پایان ترم و درخواست آزمون تابستان,1
امتحان ,1
ترم ۴۰۳۲ ثبت پروژه پایان نامه  اولین بار,1
عدم ثبت مجوز انتخاب واحد نیمسال 4041,1
درخواست مجوز ترم تابستانه نیمسال ۴۰۳۳ را دارم,1
ایمیل دانشجویی ,1
درخواست مجوز ترم تابستان دارم ,1
سلام و وقت بخیر احتراما، خواهشمندم در صورت امکان انتخاب واحد ترم تابستان را برای اینجانب فعال بفرمایید تا بتوانم دروس مورد نظر را انتخاب کنم.,1
درخواست برنامه امتحانی این ترم,1
درخواست ازمون مجدد,1
درخواست انتقال به مرحله ۷ پژوهشیار,1
درخواست جلسه دفاع ,1
اعلام آمادگی برای دفاع پایان نامه دکتری و صدور تاریخ جلسه ی دفاع,1
درخواست امتحان مجدد دروس در تابستان,1
سلام. درخواست دفاع از پایان نامه کارشناسی ارشد مدیریت آموزشی,1
درخواست تکمیل پرونده ۳۳۶۸۰۴,1
تست سامانه ,1
شرکت در امتحان جبرانی شهریور ماه 1404,1
باز کردن فایل پژوهشیار جهت ایجاد تغییرات لازم فایل پایان نامه ,1
درخواست برگزاری مجدد امتحانات پایان ترم در شهریور ماه,1
درخواست برگزاری مجدد امتحان پایان ترم درس تفسیر موضوعی نهج البلاغه ,1
سلام من برای مدارک خیلی خطا میخوره سامانه در صورتی که کامله,1
ازمون مجدد دروس عمومی,1
اخذ مجوز بیش از ۲ درس معارف,1
گواهی اشتغالبه تحصیل,1
هفته فرجه چه زمانی شروع میشود؟,1
درخواست تقسیط شهریه,1
شرکت در امتحانات مجدد( دروس عمومی),1
باسلام و عرض ادب ؛ با توجه به اتفاقات و نداشتن روحیه و شرایط درست بچه های خوابگاهی از شما تقاضا دارم امتحان ۲۵ خرداد را به تعویق بیندازید,1
درخواست تغییر آدرس منزل درخواست سامانه آموزشیار,1
-درخواست امتحان مجدد برای بچه‌های غیر بومی   کدهای پیگیری برای دروس عمومی   1772141262545664  1772183203139678  1772203476232495  باتشکر ,1
امتحان پایان ترم عمومی تاریخ تحلیلی صدر اسلام ,1
امتحان پایان ترم اندیشه و وصایای امام خمینی ,1
درخواست آزمونهای عمومی کنسل شده ,1
درخواست شرکت در آزمونهای عمومی کنسل شده,1
درخواست کارت ورود به جلسه ,1
خرابی کولر ,1
ارایه ترم تابستان ,1
با سلام و احترام در خواست اخذ ترم تابستان را دارم ,1
درخواست برگزاری مجدد امتحانات عمومی کنسل شده دانشجویان دانشکده پزشکی ,1
درخواست مجوز ,1
با سلام و خسته نباشید میخواستم بدونم تاریخ شروع امتحانات این ترم چه روزیه؟,1
بابت کار دانشجویی چی شد گفتید خبر میدید؟ ,1
من اگر امتحان  قبول نشم چکار کنم مشروط میشم خو دانشگاه اخراج می‌کند  ,1
درخواست مجوز تابستان بگیریم چکار کنم,1
مجوز انتخاب واحد ,1
تغییر اتوماسيون جهت رییس بسیج دانشجویی ,1
شرکت در امتحانات دروس عمومی تابستان ۱۴۰۴,1
شرکت در امتحانات عمومی لغو شده در تابستان 1404,1
بررسی فعالسازی سرویس درخواست,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ بدلایل شرایط پیش آمده,1
گواهی موقت پایان تحصیلات ,1
درخواست شرکت در امتحانات تابستان ۴۰۴(فرم مربوطه در سایت تکمیل شده),1
درخواست شرکت درامتحانات تابستان ۴۰۴(فرم مربوطه درسایت تکمیل شده),1
با سلام و احترام درخواست کارت ورود به جلسه میانترم را دارم,1
افزایش سقف انتخاب واحد به ۲۴ تا با معدل الف ,1
مشاوره,1
بدون  موضوع ,1
درخواست ترم تابستان ۱۴۰۴,1
درخاست مجوز ترم تابستونه نیمسال ۴۰۳۳را دارم,1
سلام و عرض و ادب احترام باز کردن قسمت قفل ویرایش مرحله دوم پروپزال در پژوهشیار ممنون,1
مدارک تکمیلی برای اخذ کد اخلاق,1
بررسی مجدد پروپزال قسمت آخر در راجع به ملاحظات اخلاقی,1
درخواست شرکت در دروس اختصاصی اصطلاحات پزشکی،تشریح 2،فیزیولوژی 2،اصول استریل و ضد عفونی،آشنایی با وسایل و تجهیزات اتاق عمل،فناوری اطلاعات در اتاق عمل،اصول و فنون عملکرد فرد سیار و اسکراب را دارم.,1
درخواست شرکت در امتحانات تابستان 404 دانشکده پزشکی علی ابن ابیطالب (ع) یزد، درخواست شرکت در امتحانات تابستان 1404 در دروس عمومی ادبیات فارسی،زبان عمومی،رواشناسی،ایین زندگی، وصایای امام خمینی و انس با قرآن کریم را دارم,1
اینترنت دانشجویی,1
باسلام ترم اخر هستم ۲۲واحد باقی مانده .درخواست مجوز برای درس معارف بیشتر از ۲واحد دارم .,1
