run_id,T,L,C,p,h,w,s,demand_t1,demand_t2,demand_t3,demand_t4,demand_t5,demand_t6,demand_t7,demand_t8,demand_t9,demand_t10,demand_t11,demand_t12,demand_t13,demand_t14,scenario_type,scenario_param
23,14,3,30,20,2.0,5,200,30,14,39,63,46,31,159,35,217,295,10,19,150,10,volatility,sigma_0.05
24,14,3,30,20,2.0,5,200,28,16,37,56,47,31,154,36,209,286,10,19,157,9,volatility,sigma_0.05
25,14,3,30,20,2.0,5,200,28,14,40,58,43,30,151,34,205,303,9,18,144,9,volatility,sigma_0.05
26,14,3,30,20,2.0,5,200,30,16,41,59,44,28,149,34,213,287,10,21,149,10,volatility,sigma_0.05
27,14,3,30,20,2.0,5,200,31,14,40,60,45,28,150,35,225,314,11,19,156,10,volatility,sigma_0.05
28,14,3,30,20,2.0,5,200,33,14,38,58,40,29,144,35,213,328,10,19,143,10,volatility,sigma_0.05
29,14,3,30,20,2.0,5,200,28,16,42,58,41,32,149,37,193,291,10,20,146,10,volatility,sigma_0.05
30,14,3,30,20,2.0,5,200,28,14,40,61,46,28,138,37,213,288,10,20,158,10,volatility,sigma_0.05
31,14,3,30,20,2.0,5,200,33,16,39,62,46,32,142,36,221,273,9,17,147,10,volatility,sigma_0.05
32,14,3,30,20,2.0,5,200,32,15,43,55,41,29,152,34,188,298,9,20,152,9,volatility,sigma_0.05
33,14,3,30,20,2.0,5,200,29,14,39,62,42,30,146,33,208,284,9,18,164,10,volatility,sigma_0.05
34,14,3,30,20,2.0,5,200,28,15,39,59,46,31,146,33,207,265,9,21,162,9,volatility,sigma_0.05
35,14,3,30,20,2.0,5,200,30,15,46,63,44,28,137,35,202,278,9,18,162,10,volatility,sigma_0.05
36,14,3,30,20,2.0,5,200,29,16,40,57,48,30,142,34,200,279,10,21,139,10,volatility,sigma_0.05
37,14,3,30,20,2.0,5,200,29,14,38,57,45,28,152,34,207,286,9,20,153,9,volatility,sigma_0.05
38,14,3,30,20,2.0,5,200,30,15,36,61,43,30,144,31,192,300,10,19,154,9,volatility,sigma_0.05
39,14,3,30,20,2.0,5,200,29,14,38,60,43,29,157,33,218,283,10,21,131,9,volatility,sigma_0.05
40,14,3,30,20,2.0,5,200,30,14,40,58,45,29,158,35,213,293,9,19,152,9,volatility,sigma_0.05
41,14,3,30,20,2.0,5,200,30,16,41,59,47,29,134,33,190,294,10,21,152,9,volatility,sigma_0.05
42,14,3,30,20,2.0,5,200,31,13,40,62,41,31,152,34,216,334,10,20,146,9,volatility,sigma_0.05
43,14,3,30,20,2.0,5,200,31,14,40,58,46,30,157,34,207,285,9,20,155,9,volatility,sigma_0.05
44,14,3,30,20,2.0,5,200,31,16,40,65,43,28,136,37,216,299,10,18,168,10,volatility,sigma_0.05
45,14,3,30,20,2.0,5,200,30,15,40,60,43,30,164,37,226,292,9,19,150,10,volatility,sigma_0.05
46,14,3,30,20,2.0,5,200,27,16,39,58,42,27,156,35,196,280,9,21,148,9,volatility,sigma_0.05
47,14,3,30,20,2.0,5,200,29,14,34,59,44,31,163,36,207,283,11,20,150,9,volatility,sigma_0.05
48,14,3,30,20,2.0,5,200,30,14,38,58,44,29,144,35,207,322,8,21,159,8,volatility,sigma_0.05
49,14,3,30,20,2.0,5,200,29,14,37,57,42,32,157,37,217,283,9,20,140,10,volatility,sigma_0.05
50,14,3,30,20,2.0,5,200,29,14,41,61,44,31,141,36,216,295,10,18,156,9,volatility,sigma_0.05
51,14,3,30,20,2.0,5,200,29,15,38,55,41,30,140,38,188,325,10,19,145,10,volatility,sigma_0.05
52,14,3,30,20,2.0,5,200,29,15,40,60,44,29,152,32,195,311,10,19,150,10,volatility,sigma_0.05
53,14,3,30,20,2.0,5,200,29,14,40,57,45,27,157,35,212,314,10,21,136,9,volatility,sigma_0.05
54,14,3,30,20,2.0,5,200,29,15,41,57,45,28,145,32,200,279,9,21,142,11,volatility,sigma_0.05
55,14,3,30,20,2.0,5,200,30,15,38,62,43,30,169,34,222,289,9,21,145,10,volatility,sigma_0.05
56,14,3,30,20,2.0,5,200,31,14,41,62,46,27,144,34,209,309,10,18,152,10,volatility,sigma_0.05
57,14,3,30,20,2.0,5,200,30,15,41,61,44,27,153,35,212,280,9,21,149,10,volatility,sigma_0.05
58,14,3,30,20,2.0,5,200,30,15,41,58,45,29,146,34,212,292,10,19,148,9,volatility,sigma_0.05
59,14,3,30,20,2.0,5,200,32,15,42,55,45,31,150,36,204,321,11,19,146,10,volatility,sigma_0.05
60,14,3,30,20,2.0,5,200,32,14,39,59,41,28,142,33,209,303,10,19,157,9,volatility,sigma_0.05
61,14,3,30,20,2.0,5,200,29,15,37,61,45,30,152,39,203,292,9,19,145,10,volatility,sigma_0.05
62,14,3,30,20,2.0,5,200,32,14,38,61,43,30,151,32,226,326,9,19,152,10,volatility,sigma_0.05
63,14,3,30,20,2.0,5,200,30,16,39,57,41,28,149,38,204,303,9,21,168,9,volatility,sigma_0.05
64,14,3,30,20,2.0,5,200,29,15,41,65,46,29,154,36,218,307,10,21,160,10,volatility,sigma_0.05
65,14,3,30,20,2.0,5,200,29,15,42,57,45,29,150,37,212,300,9,20,154,11,volatility,sigma_0.05
66,14,3,30,20,2.0,5,200,29,15,40,64,44,30,154,35,205,302,10,18,150,9,volatility,sigma_0.05
67,14,3,30,20,2.0,5,200,31,13,38,61,48,29,145,38,194,267,10,19,142,10,volatility,sigma_0.05
68,14,3,30,20,2.0,5,200,30,14,37,62,46,29,163,33,193,289,9,20,148,10,volatility,sigma_0.05
69,14,3,30,20,2.0,5,200,28,16,39,63,45,30,154,35,216,319,10,20,149,10,volatility,sigma_0.05
70,14,3,30,20,2.0,5,200,28,16,39,55,45,28,156,33,205,271,9,17,138,10,volatility,sigma_0.05
71,14,3,30,20,2.0,5,200,31,15,38,59,44,28,161,36,207,300,10,17,148,9,volatility,sigma_0.05
72,14,3,30,20,2.0,5,200,28,14,43,61,43,30,160,36,210,290,10,20,156,10,volatility,sigma_0.05
73,14,3,30,20,2.0,5,200,31,14,42,60,49,28,163,35,203,292,9,20,153,9,volatility,sigma_0.05
74,14,3,30,20,2.0,5,200,29,16,43,61,45,30,154,33,207,274,10,20,146,10,volatility,sigma_0.05
75,14,3,30,20,2.0,5,200,28,13,40,63,48,29,158,34,208,313,10,18,161,10,volatility,sigma_0.05
76,14,3,30,20,2.0,5,200,29,15,40,60,43,28,149,37,215,294,10,17,158,9,volatility,sigma_0.05
77,14,3,30,20,2.0,5,200,29,14,37,63,43,30,149,35,210,280,10,19,138,9,volatility,sigma_0.05
78,14,3,30,20,2.0,5,200,32,15,39,58,44,33,152,35,220,303,9,19,149,9,volatility,sigma_0.05
79,14,3,30,20,2.0,5,200,31,15,41,59,45,27,156,35,220,256,11,19,158,9,volatility,sigma_0.05
80,14,3,30,20,2.0,5,200,30,14,38,65,44,30,156,35,211,305,11,19,151,10,volatility,sigma_0.05
81,14,3,30,20,2.0,5,200,31,15,41,56,48,28,152,33,209,304,10,20,162,10,volatility,sigma_0.05
82,14,3,30,20,2.0,5,200,29,15,42,56,46,31,147,37,208,301,9,20,141,9,volatility,sigma_0.05
83,14,3,30,20,2.0,5,200,32,14,38,53,43,28,162,36,202,333,10,19,131,11,volatility,sigma_0.05
84,14,3,30,20,2.0,5,200,27,13,42,67,48,30,154,36,217,304,10,19,144,9,volatility,sigma_0.05
85,14,3,30,20,2.0,5,200,27,14,38,56,45,32,156,32,199,314,9,19,154,9,volatility,sigma_0.05
86,14,3,30,20,2.0,5,200,30,13,38,60,41,30,149,35,212,320,10,19,150,10,volatility,sigma_0.05
87,14,3,30,20,2.0,5,200,30,15,38,58,41,32,140,33,202,313,9,21,144,10,volatility,sigma_0.05
88,14,3,30,20,2.0,5,200,28,16,37,60,46,30,148,34,210,297,10,22,145,9,volatility,sigma_0.05
89,14,3,30,20,2.0,5,200,29,16,38,64,48,29,154,37,206,296,9,18,145,9,volatility,sigma_0.05
90,14,3,30,20,2.0,5,200,30,14,40,55,45,31,135,35,222,281,10,20,144,9,volatility,sigma_0.05
91,14,3,30,20,2.0,5,200,30,15,41,57,45,27,149,33,202,318,10,20,141,9,volatility,sigma_0.05
92,14,3,30,20,2.0,5,200,31,15,44,61,45,29,151,34,217,314,9,18,136,10,volatility,sigma_0.05
93,14,3,30,20,2.0,5,200,28,13,40,67,44,31,150,34,219,295,10,20,144,10,volatility,sigma_0.05
94,14,3,30,20,2.0,5,200,29,14,41,57,45,29,158,35,209,312,10,20,150,9,volatility,sigma_0.05
95,14,3,30,20,2.0,5,200,28,14,38,59,45,30,149,35,210,270,9,19,140,10,volatility,sigma_0.05
96,14,3,30,20,2.0,5,200,32,15,39,64,45,29,145,34,205,302,10,20,153,10,volatility,sigma_0.05
97,14,3,30,20,2.0,5,200,31,13,34,62,41,29,141,31,215,311,9,17,145,10,volatility,sigma_0.05
98,14,3,30,20,2.0,5,200,27,15,39,61,45,28,158,34,209,286,9,19,148,10,volatility,sigma_0.05
99,14,3,30,20,2.0,5,200,27,13,42,59,43,31,145,38,217,292,11,19,155,10,volatility,sigma_0.05
100,14,3,30,20,2.0,5,200,31,16,40,57,46,28,165,35,206,302,9,19,159,9,volatility,sigma_0.05
101,14,3,30,20,2.0,5,200,28,15,42,62,47,28,139,37,206,296,10,20,153,11,volatility,sigma_0.05
102,14,3,30,20,2.0,5,200,29,15,40,60,48,30,154,36,206,287,9,18,165,9,volatility,sigma_0.05
103,14,3,30,20,2.0,5,200,29,14,40,62,46,29,148,35,207,324,10,20,154,10,volatility,sigma_0.05
104,14,3,30,20,2.0,5,200,30,14,40,58,43,30,159,35,213,325,10,22,154,9,volatility,sigma_0.05
105,14,3,30,20,2.0,5,200,31,15,42,62,44,28,148,33,203,308,10,20,141,10,volatility,sigma_0.05
106,14,3,30,20,2.0,5,200,31,14,39,60,43,30,149,35,200,293,10,19,162,9,volatility,sigma_0.05
107,14,3,30,20,2.0,5,200,30,15,37,54,41,31,145,39,204,302,10,22,165,10,volatility,sigma_0.05
108,14,3,30,20,2.0,5,200,31,15,41,58,43,29,148,34,217,314,10,21,141,9,volatility,sigma_0.05
109,14,3,30,20,2.0,5,200,28,13,39,59,48,30,142,38,222,308,9,19,147,10,volatility,sigma_0.05
110,14,3,30,20,2.0,5,200,32,16,39,56,45,27,152,34,205,276,10,19,141,8,volatility,sigma_0.05
111,14,3,30,20,2.0,5,200,29,16,43,58,43,30,142,35,218,318,9,19,143,9,volatility,sigma_0.05
112,14,3,30,20,2.0,5,200,29,15,41,57,48,29,149,33,184,313,10,19,150,10,volatility,sigma_0.05
113,14,3,30,20,2.0,5,200,27,14,41,56,45,27,153,34,193,317,9,19,151,10,volatility,sigma_0.05
114,14,3,30,20,2.0,5,200,28,15,40,62,45,29,143,35,198,256,10,20,132,9,volatility,sigma_0.05
115,14,3,30,20,2.0,5,200,30,16,40,57,44,32,145,33,204,285,10,21,152,9,volatility,sigma_0.05
116,14,3,30,20,2.0,5,200,29,13,41,59,44,34,152,33,205,317,10,18,156,9,volatility,sigma_0.05
117,14,3,30,20,2.0,5,200,32,15,39,63,45,31,153,33,203,315,9,19,142,10,volatility,sigma_0.05
118,14,3,30,20,2.0,5,200,33,14,40,64,44,30,142,35,208,314,10,22,154,10,volatility,sigma_0.05
119,14,3,30,20,2.0,5,200,30,14,40,59,45,31,142,36,223,298,8,19,159,9,volatility,sigma_0.05
120,14,3,30,20,2.0,5,200,28,14,41,61,44,29,147,33,226,295,10,21,157,9,volatility,sigma_0.05
121,14,3,30,20,2.0,5,200,30,14,38,60,42,31,146,35,212,296,10,19,156,9,volatility,sigma_0.05
122,14,3,30,20,2.0,5,200,30,16,37,57,46,30,152,35,216,316,10,19,155,10,volatility,sigma_0.05
123,14,3,30,20,2.0,5,200,29,14,42,59,40,31,145,34,213,302,10,19,153,9,volatility,sigma_0.05
124,14,3,30,20,2.0,5,200,31,15,38,63,43,31,152,38,207,294,9,19,155,9,volatility,sigma_0.05
125,14,3,30,20,2.0,5,200,28,14,41,65,44,29,150,37,200,303,10,20,151,10,volatility,sigma_0.05
126,14,3,30,20,2.0,5,200,25,15,38,54,46,32,148,36,226,319,10,20,150,9,volatility,sigma_0.05
127,14,3,30,20,2.0,5,200,29,14,44,59,45,30,150,37,203,302,9,18,145,9,volatility,sigma_0.05
128,14,3,30,20,2.0,5,200,29,14,37,59,41,31,150,32,206,288,10,21,135,10,volatility,sigma_0.05
129,14,3,30,20,2.0,5,200,29,15,40,57,44,28,158,35,229,299,9,18,136,9,volatility,sigma_0.05
130,14,3,30,20,2.0,5,200,30,15,36,62,43,30,162,36,207,286,8,19,148,9,volatility,sigma_0.05
131,14,3,30,20,2.0,5,200,29,15,39,58,45,30,141,37,208,300,10,20,157,10,volatility,sigma_0.05
132,14,3,30,20,2.0,5,200,29,15,37,60,44,29,149,31,204,301,10,18,159,9,volatility,sigma_0.05
133,14,3,30,20,2.0,5,200,31,15,38,65,42,31,157,33,224,296,10,20,148,10,volatility,sigma_0.05
134,14,3,30,20,2.0,5,200,31,13,42,55,47,31,141,34,198,296,9,20,159,10,volatility,sigma_0.05
135,14,3,30,20,2.0,5,200,29,14,36,57,47,32,140,33,209,304,9,20,146,9,volatility,sigma_0.05
136,14,3,30,20,2.0,5,200,30,15,39,59,44,29,148,37,215,295,10,19,158,10,volatility,sigma_0.05
137,14,3,30,20,2.0,5,200,29,15,36,56,42,30,162,38,216,307,9,19,144,9,volatility,sigma_0.05
138,14,3,30,20,2.0,5,200,29,14,36,62,42,30,165,33,183,295,10,21,140,10,volatility,sigma_0.05
139,14,3,30,20,2.0,5,200,29,14,45,55,45,30,158,35,213,294,10,19,154,9,volatility,sigma_0.05
140,14,3,30,20,2.0,5,200,30,14,42,59,41,31,143,33,203,320,8,23,157,10,volatility,sigma_0.05
141,14,3,30,20,2.0,5,200,29,15,41,61,46,30,148,34,207,317,10,17,154,10,volatility,sigma_0.05
142,14,3,30,20,2.0,5,200,29,14,42,62,43,30,142,32,203,312,10,20,155,10,volatility,sigma_0.05
143,14,3,30,20,2.0,5,200,29,15,41,62,47,31,152,36,209,286,9,19,144,9,volatility,sigma_0.05
144,14,3,30,20,2.0,5,200,28,14,36,60,45,28,154,36,193,288,9,19,156,9,volatility,sigma_0.05
145,14,3,30,20,2.0,5,200,29,13,41,56,45,30,160,32,178,302,10,21,151,9,volatility,sigma_0.05
146,14,3,30,20,2.0,5,200,31,14,40,61,47,34,152,34,209,273,9,19,146,10,volatility,sigma_0.05
147,14,3,30,20,2.0,5,200,28,15,40,59,44,30,156,33,203,295,9,19,146,10,volatility,sigma_0.05
148,14,3,30,20,2.0,5,200,30,15,41,59,45,29,151,33,184,297,10,20,157,10,volatility,sigma_0.05
149,14,3,30,20,2.0,5,200,30,15,38,59,46,31,148,34,210,309,9,17,145,9,volatility,sigma_0.05
150,14,3,30,20,2.0,5,200,29,14,39,64,45,30,154,33,220,298,10,18,138,10,volatility,sigma_0.05
151,14,3,30,20,2.0,5,200,30,14,38,63,42,32,143,36,206,309,9,19,150,9,volatility,sigma_0.05
152,14,3,30,20,2.0,5,200,31,14,39,57,39,29,168,36,209,296,10,20,141,10,volatility,sigma_0.05
153,14,3,30,20,2.0,5,200,31,15,40,60,46,30,147,33,211,323,9,18,151,10,volatility,sigma_0.05
154,14,3,30,20,2.0,5,200,30,15,39,64,41,28,149,32,208,324,10,20,140,9,volatility,sigma_0.05
155,14,3,30,20,2.0,5,200,29,14,42,61,42,30,153,36,226,284,9,18,148,10,volatility,sigma_0.05
156,14,3,30,20,2.0,5,200,31,14,39,60,43,33,137,35,231,300,9,19,148,10,volatility,sigma_0.05
157,14,3,30,20,2.0,5,200,26,16,37,59,44,30,138,35,231,279,10,19,153,10,volatility,sigma_0.05
158,14,3,30,20,2.0,5,200,29,15,43,59,46,28,142,35,225,305,9,19,140,10,volatility,sigma_0.05
159,14,3,30,20,2.0,5,200,31,14,39,60,44,29,165,34,206,290,10,19,145,10,volatility,sigma_0.05
160,14,3,30,20,2.0,5,200,32,14,36,63,43,31,135,36,197,310,10,19,146,10,volatility,sigma_0.05
161,14,3,30,20,2.0,5,200,30,15,43,55,48,30,143,32,208,313,9,21,139,9,volatility,sigma_0.05
162,14,3,30,20,2.0,5,200,28,15,41,58,39,30,153,35,222,283,10,21,136,10,volatility,sigma_0.05
163,14,3,30,20,2.0,5,200,29,14,40,58,43,30,141,33,217,282,10,20,137,9,volatility,sigma_0.05
164,14,3,30,20,2.0,5,200,31,14,39,61,46,29,145,37,228,314,10,19,143,10,volatility,sigma_0.05
165,14,3,30,20,2.0,5,200,30,16,41,55,47,28,147,35,230,346,10,19,154,10,volatility,sigma_0.05
166,14,3,30,20,2.0,5,200,29,16,40,61,46,30,156,33,204,283,10,20,153,10,volatility,sigma_0.05
167,14,3,30,20,2.0,5,200,29,15,37,58,46,31,147,34,194,294,10,20,153,10,volatility,sigma_0.05
168,14,3,30,20,2.0,5,200,30,14,41,61,46,29,133,36,204,287,10,19,157,10,volatility,sigma_0.05
169,14,3,30,20,2.0,5,200,31,13,42,60,44,30,136,35,199,279,9,21,145,10,volatility,sigma_0.05
170,14,3,30,20,2.0,5,200,29,13,37,63,44,29,151,35,221,321,9,18,146,10,volatility,sigma_0.05
171,14,3,30,20,2.0,5,200,28,14,40,59,45,28,148,33,219,315,9,19,138,9,volatility,sigma_0.05
172,14,3,30,20,2.0,5,200,29,13,38,56,45,30,144,35,204,295,10,21,140,10,volatility,sigma_0.05
173,14,3,30,20,2.0,5,200,31,14,41,64,42,28,157,35,215,305,10,18,157,10,volatility,sigma_0.05
174,14,3,30,20,2.0,5,200,29,14,36,61,46,29,158,34,215,284,9,19,151,9,volatility,sigma_0.05
175,14,3,30,20,2.0,5,200,29,15,39,55,48,32,140,36,204,303,10,19,144,9,volatility,sigma_0.05
176,14,3,30,20,2.0,5,200,28,14,39,57,46,32,145,35,215,307,10,20,153,9,volatility,sigma_0.05
177,14,3,30,20,2.0,5,200,31,15,38,60,46,29,158,39,201,279,10,20,148,10,volatility,sigma_0.05
178,14,3,30,20,2.0,5,200,27,15,38,65,49,28,145,36,205,299,10,18,149,9,volatility,sigma_0.05
179,14,3,30,20,2.0,5,200,29,16,37,62,44,29,155,35,215,314,9,19,141,9,volatility,sigma_0.05
180,14,3,30,20,2.0,5,200,34,15,37,56,46,30,154,34,208,304,10,17,148,9,volatility,sigma_0.05
181,14,3,30,20,2.0,5,200,30,17,40,59,47,30,153,36,231,283,10,19,154,9,volatility,sigma_0.05
182,14,3,30,20,2.0,5,200,29,14,41,62,42,30,144,32,207,295,11,20,139,9,volatility,sigma_0.05
183,14,3,30,20,2.0,5,200,31,16,36,54,49,30,143,35,182,300,10,20,142,10,volatility,sigma_0.05
184,14,3,30,20,2.0,5,200,28,15,38,58,42,30,156,34,210,278,9,19,169,9,volatility,sigma_0.05
185,14,3,30,20,2.0,5,200,32,15,40,65,45,30,149,37,221,290,9,19,143,9,volatility,sigma_0.05
186,14,3,30,20,2.0,5,200,31,14,39,60,46,26,145,35,222,292,9,20,145,9,volatility,sigma_0.05
187,14,3,30,20,2.0,5,200,29,14,38,53,47,31,154,33,207,299,10,20,144,10,volatility,sigma_0.05
188,14,3,30,20,2.0,5,200,30,16,41,62,45,32,153,33,224,310,9,19,152,10,volatility,sigma_0.05
189,14,3,30,20,2.0,5,200,30,15,43,63,45,31,142,35,228,296,9,19,141,9,volatility,sigma_0.05
190,14,3,30,20,2.0,5,200,29,13,40,62,42,32,153,36,203,312,9,20,151,10,volatility,sigma_0.05
191,14,3,30,20,2.0,5,200,28,14,41,57,46,27,156,32,215,309,9,20,151,9,volatility,sigma_0.05
192,14,3,30,20,2.0,5,200,28,13,40,55,45,29,155,34,206,310,10,20,153,9,volatility,sigma_0.05
193,14,3,30,20,2.0,5,200,31,15,37,59,44,29,152,37,221,280,10,21,152,10,volatility,sigma_0.05
194,14,3,30,20,2.0,5,200,33,15,40,63,45,30,147,37,201,322,10,18,152,8,volatility,sigma_0.05
195,14,3,30,20,2.0,5,200,30,15,38,60,49,29,142,37,230,300,10,21,144,9,volatility,sigma_0.05
196,14,3,30,20,2.0,5,200,31,16,41,57,49,29,147,35,226,312,10,20,150,10,volatility,sigma_0.05
197,14,3,30,20,2.0,5,200,26,14,40,56,45,29,163,37,205,297,9,19,151,9,volatility,sigma_0.05
198,14,3,30,20,2.0,5,200,28,15,41,57,47,29,151,36,209,306,9,19,148,9,volatility,sigma_0.05
199,14,3,30,20,2.0,5,200,29,13,39,59,44,29,149,35,219,290,9,18,146,9,volatility,sigma_0.05
200,14,3,30,20,2.0,5,200,28,14,39,60,46,29,146,33,209,287,10,18,147,10,volatility,sigma_0.05
201,14,3,30,20,2.0,5,200,30,17,40,56,44,27,149,33,219,291,9,19,163,9,volatility,sigma_0.05
202,14,3,30,20,2.0,5,200,32,15,40,61,45,27,147,36,209,278,9,21,159,9,volatility,sigma_0.05
203,14,3,30,20,2.0,5,200,31,14,36,57,48,29,148,34,229,324,11,19,152,9,volatility,sigma_0.05
204,14,3,30,20,2.0,5,200,32,14,40,56,43,28,145,34,204,312,9,20,159,9,volatility,sigma_0.05
205,14,3,30,20,2.0,5,200,28,14,42,60,43,30,141,36,214,295,9,19,154,10,volatility,sigma_0.05
206,14,3,30,20,2.0,5,200,29,15,35,58,44,28,142,33,213,297,8,17,145,10,volatility,sigma_0.05
207,14,3,30,20,2.0,5,200,25,14,38,64,44,30,151,31,218,303,10,23,134,10,volatility,sigma_0.05
208,14,3,30,20,2.0,5,200,29,15,39,58,43,30,138,36,205,283,9,21,145,10,volatility,sigma_0.05
209,14,3,30,20,2.0,5,200,28,15,41,65,44,31,150,37,202,311,9,19,150,10,volatility,sigma_0.05
210,14,3,30,20,2.0,5,200,29,15,43,62,46,29,143,36,219,322,9,19,137,9,volatility,sigma_0.05
211,14,3,30,20,2.0,5,200,31,14,41,59,45,28,150,29,208,275,10,20,153,10,volatility,sigma_0.05
212,14,3,30,20,2.0,5,200,28,16,41,59,47,28,143,33,204,284,10,19,152,9,volatility,sigma_0.05
213,14,3,30,20,2.0,5,200,27,15,36,59,41,32,156,35,223,287,10,20,151,10,volatility,sigma_0.05
214,14,3,30,20,2.0,5,200,31,15,36,57,44,30,141,39,225,309,10,19,142,10,volatility,sigma_0.05
215,14,3,30,20,2.0,5,200,30,14,40,59,40,28,146,38,215,279,10,18,158,9,volatility,sigma_0.05
216,14,3,30,20,2.0,5,200,29,15,37,55,43,31,138,30,205,308,10,19,146,10,volatility,sigma_0.05
217,14,3,30,20,2.0,5,200,27,14,40,61,43,30,131,33,214,285,10,20,147,10,volatility,sigma_0.05
218,14,3,30,20,2.0,5,200,28,14,41,60,43,30,155,31,222,294,10,21,139,9,volatility,sigma_0.05
219,14,3,30,20,2.0,5,200,29,14,43,57,43,30,140,34,213,295,9,19,138,10,volatility,sigma_0.05
220,14,3,30,20,2.0,5,200,32,15,40,62,42,32,151,37,202,327,10,20,151,9,volatility,sigma_0.05
221,14,3,30,20,2.0,5,200,31,15,36,56,44,30,149,37,189,302,9,20,149,10,volatility,sigma_0.05
222,14,3,30,20,2.0,5,200,28,15,42,61,44,30,144,36,227,316,9,20,140,10,volatility,sigma_0.05
223,14,3,30,20,2.0,5,200,30,13,37,59,44,28,152,35,207,288,10,21,146,9,volatility,sigma_0.05
224,14,3,30,20,2.0,5,200,30,14,39,62,40,31,150,34,209,299,9,21,150,10,volatility,sigma_0.05
225,14,3,30,20,2.0,5,200,31,14,40,59,46,26,149,33,214,307,9,19,149,9,volatility,sigma_0.05
226,14,3,30,20,2.0,5,200,31,14,34,58,42,27,140,35,223,304,9,20,146,9,volatility,sigma_0.05
227,14,3,30,20,2.0,5,200,28,13,39,60,44,29,142,36,196,311,9,19,138,9,volatility,sigma_0.05
228,14,3,30,20,2.0,5,200,31,15,41,61,42,29,144,37,197,313,10,21,146,10,volatility,sigma_0.05
229,14,3,30,20,2.0,5,200,33,14,36,54,46,27,147,35,211,306,10,21,142,9,volatility,sigma_0.05
230,14,3,30,20,2.0,5,200,28,15,41,61,47,28,162,37,217,326,9,19,144,10,volatility,sigma_0.05
231,14,3,30,20,2.0,5,200,28,15,42,62,45,28,143,37,218,299,9,17,141,10,volatility,sigma_0.05
232,14,3,30,20,2.0,5,200,28,15,42,56,45,31,150,40,192,315,9,20,153,9,volatility,sigma_0.05
233,14,3,30,20,2.0,5,200,30,13,41,60,46,31,152,35,200,289,10,21,148,10,volatility,sigma_0.05
234,14,3,30,20,2.0,5,200,28,15,41,65,43,29,151,36,207,286,10,20,143,10,volatility,sigma_0.05
235,14,3,30,20,2.0,5,200,31,15,40,61,43,30,133,36,193,322,9,19,145,9,volatility,sigma_0.05
236,14,3,30,20,2.0,5,200,32,13,42,61,42,28,162,33,197,317,10,19,151,9,volatility,sigma_0.05
237,14,3,30,20,2.0,5,200,31,15,41,61,48,29,141,35,231,284,9,20,149,9,volatility,sigma_0.05
